"source";"translation";"type";"module";"status";"customer"
"Error details: %s";"Error details: %s";"S";"";"N";"N"
"%s %s(s) successfully deleted";"%s %s(s) successfully deleted";"S";"";"N";"N"
"Active view changed";"Active view changed";"S";"";"N";"N"
"Error while changing active view";"Error while changing active view";"S";"";"N";"N"
"View does not exist";"View does not exist";"S";"";"N";"N"
"Default view can not be modified";"Default view can not be modified";"S";"";"N";"N"
"Error while saving view ";"Error while saving view ";"S";"";"N";"N"
"Default view can not be deleted";"Default view can not be deleted";"S";"";"N";"N"
"View deleted";"View deleted";"S";"";"N";"N"
"View %s saved";"View %s saved";"S";"";"N";"N"
"Search in";"Search in";"B";"";"N";"N"
"for";"for";"B";"";"N";"N"
"First data line";"First data line";"S";"";"N";"N"
"Second data line";"Second data line";"S";"";"N";"N"
"from";"from";"B";"";"N";"N"
"to";"to";"B";"";"N";"N"
"Mail";"Mail";"B";"";"N";"N"
"Attachments";"Attachments";"B";"";"N";"N"
"Email settings";"Email settings";"B";"";"N";"N"
"Filter Info";"Filter Info";"S";"";"N";"N"
"Select";"Select";"B";"";"N";"N"
"Upload image";"Upload image";"B";"";"N";"N"
"Available languages";"Available languages";"S";"";"N";"N"
"To make it easier for you, some languages are already included in the distribution";"To make it easier for you, some languages are already included in the distribution";"S";"";"N";"N"
"Upload custom language";"Upload custom language";"S";"";"N";"N"
"Import new language from the CSV file.";"Import new language from the CSV file.";"S";"";"N";"N"
"City";"City";"B";"";"N";"N"
"Geo Location";"Geo Location";"S";"";"N";"N"
"Language metadata";"Language metadata";"B";"";"N";"N"
"Language details";"Language details";"S";"";"N";"N"
"Languages";"Languages";"B";"";"N";"N"
"Invalid License.";"Invalid License.";"S";"";"N";"N"
"Loading application";"Loading application";"S";"";"N";"N"
"Login";"Увійти";"B";"";"T";"N"
"Best viewed in:";"Best viewed in:";"S";"";"N";"N"
"Custom";"Custom";"B";"";"N";"N"
"No data or nothing matches your search";"No data or nothing matches your search";"S";"";"N";"N"
"Congratulations";"Congratulations";"S";"";"N";"N"
"Your mail account is configured correctly and your installation is capable to send mails.";"Your mail account is configured correctly and your installation is capable to send mails.";"S";"";"N";"N"
"Mail account setup";"Mail account setup";"S";"";"N";"N"
"Hello";"Hello";"S";"";"N";"N"
"Template Variables";"Template Variables";"S";"";"N";"N"
"Template variable values entered below will be used only in your mail template test.";"Template variable values entered below will be used only in your mail template test.";"S";"";"N";"N"
"version";"version";"S";"";"N";"N"
"Regional settings";"Regional settings";"B";"";"N";"N"
"Request New Password";"Request New Password";"B";"";"N";"N"
"If you lost your password, just enter your username (email) and we will send you email with instructions how to reset your current password.";"If you lost your password, just enter your username (email) and we will send you email with instructions how to reset your current password.";"B";"";"N";"N"
"Select an account";"Select an account";"S";"";"N";"N"
"Please select an account:";"Please select an account:";"S";"";"N";"N"
"Set New Password";"Set New Password";"B";"";"N";"N"
"Template";"Template";"B";"";"N";"N"
"You are going to update";"You are going to update";"S";"";"N";"N"
"from version";"from version";"S";"";"N";"N"
"NOTE: Make sure that you backup your database and application files.";"NOTE: Make sure that you backup your database and application files.";"S";"";"N";"N"
"Agent";"Agent";"B";"";"N";"N"
"Home";"Початок";"B";"";"T";"N"
"Debug";"Debug";"C";"";"N";"N"
"Info";"Info";"C";"";"N";"N"
"Warning";"Warning";"C";"";"N";"N"
"Error";"Error";"B";"";"N";"N"
"Critical";"Critical";"C";"";"N";"N"
"Created date";"Created date";"S";"";"N";"N"
"Departments";"Departments";"B";"";"N";"N"
"Canned message";"Canned message";"B";"";"N";"N"
"Owner";"Owner";"B";"";"N";"N"
"Buttons";"Buttons";"B";"";"N";"N"
"Agents";"Agents";"B";"";"N";"N"
"Canned messages";"Canned messages";"B";"";"N";"N"
"Error saving sidebar settings";"Error saving sidebar settings";"S";"";"N";"N"
"Department";"Department";"B";"";"N";"N"
"Stats";"Stats";"B";"";"N";"N"
"Customer notifications saved";"Customer notifications saved";"S";"";"N";"N"
"Time";"Time";"B";"";"N";"N"
"Invitation";"Invitation";"B";"";"N";"N"
"Preview";"Preview";"B";"";"N";"N"
"Chatting";"Chatting";"B";"";"N";"N"
"Initial";"Initial";"S";"";"N";"N"
"New";"New";"B";"";"N";"N"
"Resolved";"Resolved";"B";"";"N";"N"
"Visitor";"Visitor";"B";"";"N";"N"
"Authentication failed (%s)";"Authentication failed (%s)";"S";"";"N";"N"
"Unable to truncate events log table: ";"Unable to truncate events log table: ";"S";"";"N";"N"
"Varied";"Varied";"B";"";"N";"N"
"Each 15 minutes";"Each 15 minutes";"B";"";"N";"N"
"Daily";"Daily";"B";"";"N";"N"
"Weekly";"Weekly";"B";"";"N";"N"
"Monthly";"Monthly";"B";"";"N";"N"
"Quarterly";"Quarterly";"B";"";"N";"N"
"Semiannualy";"Semiannualy";"B";"";"N";"N"
"Yearly";"Yearly";"B";"";"N";"N"
"Session path is setup correctly";"Session path is setup correctly";"S";"";"N";"N"
"Session path can not be set to script start path for this application";"Session path can not be set to script start path for this application";"S";"";"N";"N"
"Session path is setup incorrectly for this application. Please set session.save_path parameter to for example /tmp (unite to all scripts) in your php.ini";"Session path is setup incorrectly for this application. Please set session.save_path parameter to for example /tmp (unite to all scripts) in your php.ini";"S";"";"N";"N"
"Settings";"Settings";"B";"";"N";"N"
"Getting started";"Getting started";"B";"";"N";"N"
"Reports";"Reports";"B";"";"N";"N"
"Default view";"Default view";"B";"";"N";"N"
"Customer reply";"Customer reply";"B";"";"N";"N"
"Details";"Details";"B";"";"N";"N"
"We are eagerly waiting for your reply.";"We are eagerly waiting for your reply.";"S";"";"N";"N"
"Conversation ended.";"Conversation ended.";"S";"";"N";"N"
"You can find the license ID in your member's panel. The license will be valid for the domain where you are currently installing the product.";"You can find the license ID in your member's panel. The license will be valid for the domain where you are currently installing the product.";"S";"";"N";"N"
"License agreement";"License agreement";"S";"";"N";"N"
"System Requirements";"System Requirements";"S";"";"N";"N"
"Database Info";"Database Info";"S";"";"N";"N"
"This step will check integrity of applications.";"This step will check integrity of applications.";"S";"";"N";"N"
"Check results";"Check results";"S";"";"N";"N"
"Internal error.";"Internal error.";"S";"";"N";"N"
"Please contact support at ";"Please contact support at ";"S";"";"N";"N"
"Recommended";"Recommended";"S";"";"N";"N"
"Current";"Current";"S";"";"N";"N"
"This step will update application files from distribution zip file located in install/ folder.";"This step will update application files from distribution zip file located in install/ folder.";"S";"";"N";"N"
"FTP Info";"FTP Info";"S";"";"N";"N"
"Please send the e-mail text below to";"Please send the e-mail text below to";"S";"";"N";"N"
"You'll receive an e-mail with your license key as soon as possible.";"You'll receive an e-mail with your license key as soon as possible.";"S";"";"N";"N"
"Please review your system settings, before starting update all requirements must be fulfilled.";"Please review your system settings, before starting update all requirements must be fulfilled.";"S";"";"N";"N"
"Are you sure you want to activate this feature?";"Are you sure you want to activate this feature?";"B";"";"N";"N"
"Are you sure you want to deactivate this feature?";"Are you sure you want to deactivate this feature?";"B";"";"N";"N"
"Features";"Features";"B";"";"N";"N"
"View";"View";"B";"";"N";"N"
"Add";"Add";"B";"";"N";"N"
"None";"None";"B";"";"N";"N"
"Edit";"Edit";"C";"";"N";"N"
"Save";"Save";"B";"";"N";"N"
"First name";"First name";"B";"";"N";"N"
"Last name";"Last name";"B";"";"N";"N"
"Delete";"Delete";"B";"";"N";"N"
"All";"All";"B";"";"N";"N"
"Close";"Close";"B";"";"N";"N"
"Image";"Image";"C";"";"N";"N"
"Send";"Надіслати";"B";"";"T";"N"
"Html";"Html";"C";"";"N";"N"
"Cancel";"Cancel";"B";"";"N";"N"
"Unknown";"Unknown";"B";"";"N";"N"
"Upload failed with error: %s";"Upload failed with error: %s";"C";"";"N";"N"
"Refresh";"Refresh";"C";"";"N";"N"
"Text";"Text";"C";"";"N";"N"
"Search ...";"Пошук...";"C";"";"T";"N"
"Please wait...";"Будь ласка, зачекайте...";"C";"";"T";"N"
"Deactivate";"Deactivate";"C";"";"N";"N"
"Activate";"Activate";"C";"";"N";"N"
"Configure";"Configure";"B";"";"N";"N"
"Buy selected features";"Buy selected features";"C";"";"N";"N"
"Plugins";"Plugins";"C";"";"N";"N"
"Position";"Position";"C";"";"N";"N"
"Your license does not allow activation of this feature.";"Your license does not allow activation of this feature.";"C";"";"N";"N"
"Today";"Сьогодні";"B";"";"N";"N"
"Yesterday";"Вчора";"B";"";"N";"N"
"Last 7 days";"Минулі 7 днів";"B";"";"T";"N"
"This week (mon-sun)";"This week (mon-sun)";"B";"";"T";"N"
"Last working week (mon-fri)";"Last working week (mon-fri)";"B";"";"N";"N"
"This month";"This month";"B";"";"N";"N"
"Last month";"Last month";"B";"";"N";"N"
"This year";"This year";"B";"";"N";"N"
"Last year";"Last year";"B";"";"N";"N"
"Last 30 days";"Last 30 days";"B";"";"N";"N"
"Last 90 days";"Last 90 days";"B";"";"N";"N"
"Search";"Пошук";"B";"";"T";"N"
"Apply";"Apply";"C";"";"N";"N"
"Are you sure you want to delete preset '%s'?";"Are you sure you want to delete preset '%s'?";"C";"";"N";"N"
"Clear";"Очистити";"C";"";"T";"N"
"has to be greater than %s and lower than %s";"has to be greater than %s and lower than %s";"C";"";"N";"N"
"is out of range.";"is out of range.";"C";"";"N";"N"
"has to be number";"has to be number";"C";"";"N";"N"
"Enter valid %s";"Enter valid %s";"C";"";"N";"N"
"Uploading ...";"Завантаження ...";"C";"";"T";"N"
"Retype password again";"Retype password again";"C";"";"N";"N"
"Title";"Title";"B";"";"N";"N"
" bytes";" байт";"C";"";"T";"N"
" kB";" Кб";"C";"";"T";"N"
" MB";" Мб";"C";"";"T";"N"
" GB";" Гб";"C";"";"T";"N"
"10 min";"10 хв";"C";"";"T";"N"
"20 min";"20 хв";"C";"";"T";"N"
"30 min";"30 хв";"C";"";"T";"N"
"45 min";"45 хв";"C";"";"T";"N"
"1 hour";"1 год";"B";"";"T";"N"
"Never";"Never";"C";"";"N";"N"
"Default";"Default";"B";"";"N";"N"
"Back";"Back";"C";"";"N";"N"
"Declined";"Declined";"B";"";"N";"N"
"No option selected";"No option selected";"C";"";"N";"N"
"Manage views";"Manage views";"C";"";"N";"N"
"You can not delete active view";"You can not delete active view";"C";"";"N";"N"
"Columns";"Columns";"C";"";"N";"N"
"Views";"Views";"B";"";"N";"N"
"Sort Ascending by %s";"Sort Ascending by %s";"C";"";"N";"N"
"Sort Descending by %s";"Sort Descending by %s";"C";"";"N";"N"
"Are you sure you want to delete selected view?";"Are you sure you want to delete selected view?";"C";"";"N";"N"
"Please type in view name";"Please type in view name";"C";"";"N";"N"
"Refresh table";"Refresh table";"C";"";"N";"N"
"There are no records";"There are no records";"C";"";"N";"N"
"All %s rows selected";"All %s rows selected";"C";"";"N";"N"
"%s rows selected";"%s rows selected";"C";"";"N";"N"
"Displaying %s - %s of %s";"Displaying %s - %s of %s";"C";"";"N";"N"
"Add view";"Add view";"C";"";"N";"N"
"Help";"Help";"C";"";"N";"N"
"Note";"Note";"B";"";"N";"N"
"Export";"Export";"C";"";"N";"N"
"Download";"Download";"B";"";"N";"N"
"Server";"Server";"C";"";"N";"N"
"I Agree with the license";"I Agree with the license";"C";"";"N";"N"
"License ID";"License ID";"C";"";"N";"N"
"Apply for license key";"Apply for license key";"C";"";"N";"N"
"Accept License";"Accept License";"C";"";"N";"N"
"Next";"Next";"C";"";"N";"N"
"Username (Email)";"Імʼя користувача";"B";"";"T";"N"
"Retype Password";"Retype Password";"C";"";"N";"N"
"Internal Error";"Internal Error";"C";"";"N";"N"
"Offline Validation Request";"Offline Validation Request";"C";"";"N";"N"
"Retry Update";"Retry Update";"C";"";"N";"N"
"Start Update";"Start Update";"C";"";"N";"N"
"Version Update";"Version Update";"C";"";"N";"N"
"Add custom translation";"Add custom translation";"C";"";"N";"N"
"Space";"Space";"C";"";"N";"N"
"No separator";"No separator";"C";"";"N";"N"
"Date format";"Date format";"C";"";"N";"N"
"Date format used in application";"Date format used in application";"C";"";"N";"N"
"Time format";"Time format";"C";"";"N";"N"
"Time format used in application";"Time format used in application";"C";"";"N";"N"
"Thousands separator";"Thousands separator";"C";"";"N";"N"
"Decimal separator";"Decimal separator";"C";"";"N";"N"
"English Name";"English Name";"C";"";"N";"N"
"Import language";"Import language";"C";"";"N";"N"
"Deprecated";"Deprecated";"C";"";"N";"N"
"Translated";"Translated";"B";"";"N";"N"
"Not translated";"Not translated";"C";"";"N";"N"
"Client";"Client";"C";"";"N";"N"
"Client+Server";"Client+Server";"C";"";"N";"N"
"All translations";"All translations";"C";"";"N";"N"
"System translations";"System translations";"C";"";"N";"N"
"Custom translations";"Custom translations";"C";"";"N";"N"
"Edit language";"Edit language";"C";"";"N";"N"
"Language translations";"Language translations";"C";"";"N";"N"
"Translations";"Translations";"C";"";"N";"N"
"Save language metadata";"Save language metadata";"C";"";"N";"N"
"Use language defaults";"Use language defaults";"C";"";"N";"N"
"Use custom date, time and number format";"Use custom date, time and number format";"C";"";"N";"N"
"Value";"Value";"B";"";"N";"N"
" ----------  Insert variable  ---------- ";" ----------  Insert variable  ---------- ";"C";"";"N";"N"
"Flag";"Flag";"C";"";"N";"N"
"Back to login";"Back to login";"B";"";"N";"N"
"Continue";"Continue";"C";"";"N";"N"
"Set new password";"Set new password";"C";"";"N";"N"
"Sent";"Sent";"B";"";"N";"N"
"Recipient";"Recipient";"C";"";"N";"N"
"Send Test Mail";"Send Test Mail";"C";"";"N";"N"
"Logout";"Вийти";"B";"";"T";"N"
"TextDirection(rtl or ltr)";"TextDirection(rtl or ltr)";"B";"";"N";"N"
"Yes, Reload Application";"Yes, Reload Application";"C";"";"N";"N"
"Update license";"Update license";"C";"";"N";"N"
"Revalidate license";"Revalidate license";"B";"";"N";"N"
"License ID can not be empty";"License ID can not be empty";"C";"";"N";"N"
"Error refreshing license (%s).";"Error refreshing license (%s).";"C";"";"N";"N"
"Invalid server response.";"Invalid server response.";"C";"";"N";"N"
"Load IP details";"Load IP details";"C";"";"N";"N"
"Mute";"Mute";"C";"";"N";"N"
"Content";"Content";"B";"";"N";"N"
"Loading...";"Loading...";"B";"";"N";"N"
"Are you sure you want to remove selected item?";"Are you sure you want to remove selected item?";"C";"";"N";"N"
"Sunday";"Неділя";"C";"";"T";"N"
"Monday";"Понеділок";"C";"";"T";"N"
"Tuesday";"Вівторок";"C";"";"T";"N"
"Wednesday";"Середа";"C";"";"T";"N"
"Thursday";"Четвер";"C";"";"T";"N"
"Friday";"Пʼятниця";"C";"";"T";"N"
"Saturday";"Субота";"C";"";"T";"N"
"January";"Січень";"B";"";"T";"N"
"February";"Лютий";"B";"";"T";"N"
"March";"Березень";"B";"";"T";"N"
"April";"Квітень";"B";"";"T";"N"
"May";"Травень";"B";"";"T";"N"
"June";"Червень";"C";"";"T";"N"
"July";"Липень";"C";"";"T";"N"
"August";"Серпень";"B";"";"T";"N"
"September";"Вересень";"B";"";"T";"N"
"October";"Жовтень";"B";"";"T";"N"
"November";"Листопад";"B";"";"T";"N"
"December";"Грудень";"B";"";"T";"N"
"ago";"тому";"C";"";"T";"N"
"years";"years";"B";"";"N";"N"
"months";"months";"B";"";"N";"N"
"days";"days";"B";"";"N";"N"
"hours";"год";"B";"";"T";"N"
"mins";"хв";"B";"";"T";"N"
"today";"сьогодні";"B";"";"T";"N"
"yesterday";"вчора";"B";"";"T";"N"
"Confirmation required";"Confirmation required";"C";"";"N";"N"
"Mandatory";"Mandatory";"C";"";"N";"N"
"Disabled";"Disabled";"C";"";"N";"N"
"Number";"Number";"B";"";"N";"N"
"Checkbox";"Checkbox";"C";"";"N";"N"
"Add field";"Add field";"C";"";"N";"N"
"OK";"OK";"C";"";"N";"N"
"Information";"Information";"C";"";"N";"N"
"read more";"read more";"C";"";"N";"N"
"details";"details";"C";"";"N";"N"
"Create agent";"Create agent";"C";"";"N";"N"
"Create";"Create";"B";"";"N";"N"
"Center";"Center";"C";"";"N";"N"
"On cursor";"On cursor";"C";"";"N";"N"
"Right";"Right";"C";"";"N";"N"
"Left";"Left";"C";"";"N";"N"
"Create message";"Create message";"C";"";"N";"N"
"Are you sure you want to delete selected message(s)?";"Are you sure you want to delete selected message(s)?";"C";"";"N";"N"
"%s department";"%s department";"C";"";"N";"N"
"Create canned message";"Create canned message";"C";"";"N";"N"
"Edit canned message";"Edit canned message";"C";"";"N";"N"
"Event logs";"Event logs";"C";"";"N";"N"
"Resolve";"Resolve";"B";"";"N";"N"
"Transfer";"Transfer";"C";"";"N";"N"
"Show";"Show";"B";"";"N";"N"
"Create department";"Create department";"C";"";"N";"N"
"Resolution note (visible to agents only)";"Resolution note (visible to agents only)";"C";"";"N";"N"
"Page";"Page";"B";"";"N";"N"
"Resume";"Resume";"C";"";"N";"N"
"Expand";"Expand";"C";"";"N";"N"
"Collapse";"Collapse";"C";"";"N";"N"
"Loading user ...";"Loading user ...";"C";"";"N";"N"
"Offline";"Offline";"B";"";"N";"N"
"chats";"chats";"C";"";"N";"N"
"Chat";"Chat";"B";"";"N";"N"
"Chats";"Chats";"B";"";"N";"N"
"Start Error";"Start Error";"C";"";"N";"N"
"Start Loading";"Start Loading";"C";"";"N";"N"
"Loading name ...";"Loading name ...";"C";"";"N";"N"
"is typing";"is typing";"B";"";"N";"N"
"Me";"Me";"B";"";"N";"N"
"your email";"your email";"C";"";"N";"N"
"Impressions: %s";"Impressions: %s";"C";"";"N";"N"
"Accepts: %s";"Accepts: %s";"C";"";"N";"N"
"Unknown size";"Unknown size";"C";"";"N";"N"
"Init";"Init";"B";"";"N";"N"
"Type your email here";"Type your email here";"C";"";"N";"N"
"Type your name here";"Type your name here";"C";"";"N";"N"
"Full name";"Full name";"C";"";"N";"N"
"Profile saved";"Profile saved";"S";"";"N";"N"
"New agent can not be created, because there are no free agents left in license!";"New agent can not be created, because there are no free agents left in license!";"S";"";"N";"N"
"Departments saved";"Departments saved";"S";"";"N";"N"
"Reset password email was sent";"Reset password email was sent";"S";"";"N";"N"
"Anybody";"Anybody";"B";"";"N";"N"
"Load auth user from PasswordRequest failed.";"Load auth user from PasswordRequest failed.";"S";"";"N";"N"
"Changed";"Changed";"B";"";"N";"N"
"Fetching emails failed - see Mail accounts";"Fetching emails failed - see Mail accounts";"B";"";"N";"N"
"Total count";"Total count";"S";"";"N";"N"
"Counts";"Counts";"B";"";"N";"N"
"Selected department with id '%s' does not exist";"Selected department with id '%s' does not exist";"S";"";"N";"N"
"Any";"Any";"B";"";"N";"N"
"Hosting";"Hosting";"B";"";"N";"N"
